No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
428,20240708,ISEA,250.0,0.0,312.0,250.0,312.0,340905900.0,62.0,103096990000.0,24063.0,0.0,0.0,312.0,46119400.0,2096400.0,266600.0
429,20240709,ISEA,312.0,0.0,350.0,254.0,320.0,305122100.0,8.0,93564029200.0,24450.0,322.0,390600.0,320.0,9626900.0,4482700.0,75000.0
429,20240710,ISEA,320.0,0.0,380.0,320.0,380.0,180160200.0,60.0,63313715600.0,15756.0,382.0,121500.0,380.0,16377800.0,6739100.0,1182400.0
429,20240711,ISEA,380.0,0.0,470.0,380.0,468.0,416355200.0,88.0,179577744000.0,34652.0,470.0,1206800.0,468.0,39799400.0,14703300.0,14361500.0
429,20240712,ISEA,468.0,0.0,496.0,352.0,352.0,157940300.0,-116.0,72626403800.0,16351.0,352.0,24326400.0,0.0,0.0,1185100.0,5850000.0
429,20240715,ISEA,352.0,0.0,362.0,264.0,354.0,377554800.0,2.0,108919264600.0,16456.0,356.0,101000.0,354.0,48113600.0,8921000.0,2103700.0
429,20240716,ISEA,354.0,0.0,382.0,338.0,378.0,203321300.0,24.0,74214713400.0,13906.0,380.0,311100.0,378.0,32620800.0,1170800.0,2100500.0
429,20240717,ISEA,378.0,0.0,430.0,376.0,428.0,361824900.0,50.0,144793502000.0,14782.0,430.0,973000.0,428.0,51154400.0,167400.0,1448400.0
429,20240718,ISEA,428.0,0.0,510.0,422.0,500.0,299485500.0,72.0,139920889800.0,21567.0,505.0,994200.0,500.0,44990000.0,595100.0,708800.0
429,20240719,ISEA,500.0,0.0,545.0,376.0,376.0,171487600.0,-124.0,76786640400.0,14808.0,376.0,11812200.0,0.0,0.0,218800.0,10700.0
429,20240722,ISEA,376.0,0.0,374.0,282.0,282.0,154119800.0,-94.0,43609918600.0,9998.0,282.0,12963900.0,0.0,0.0,293900.0,3966200.0
429,20240723,ISEA,282.0,0.0,252.0,212.0,212.0,328742100.0,-70.0,70051305200.0,12904.0,212.0,17879200.0,0.0,0.0,1165300.0,487700.0
429,20240724,ISEA,212.0,0.0,197.0,159.0,176.0,505145400.0,-36.0,89879919200.0,44917.0,177.0,290900.0,176.0,2519900.0,10726500.0,10053400.0
429,20240725,ISEA,176.0,0.0,188.0,153.0,155.0,208256700.0,-21.0,36026621100.0,20589.0,155.0,3686100.0,154.0,190400.0,7268700.0,6574300.0
429,20240726,ISEA,155.0,0.0,168.0,145.0,148.0,111961600.0,-7.0,17389552300.0,11908.0,149.0,226600.0,148.0,6051000.0,4544900.0,5569900.0
